{'raw_data_an_x': 66.3189697265625, 'raw_data_an_z': -0.2471923828125, 'raw_data_an_y': -0.19775390625}
{'raw_data_an_x': -0.4779052734375, 'raw_data_an_z': -0.2032470703125, 'raw_data_an_y': 6.2567138671875}
{'raw_data_an_x': 67.9229736328125, 'raw_data_an_z': -0.28564453125, 'raw_data_an_y': 7.1136474609375}
{'raw_data_an_x': 68.92822265625, 'raw_data_an_z': -0.4339599609375, 'raw_data_an_y': -0.4559326171875}
{'raw_data_an_x': -0.32958984375, 'raw_data_an_z': -0.5877685546875, 'raw_data_an_y': 8.8330078125}
{'raw_data_an_x': -0.692138671875, 'raw_data_an_z': -128.6883544921875, 'raw_data_an_y': -0.2142333984375}
{'raw_data_an_x': 72.059326171875, 'raw_data_an_z': -128.7872314453125, 'raw_data_an_y': 10.3271484375}
{'raw_data_an_x': -0.032958984375, 'raw_data_an_z': -128.8916015625, 'raw_data_an_y': -0.4010009765625}
{'raw_data_an_x': -0.46142578125, 'raw_data_an_z': -129.0234375, 'raw_data_an_y': 11.2554931640625}
{'raw_data_an_x': 75.0640869140625, 'raw_data_an_z': -129.0728759765625, 'raw_data_an_y': 11.6510009765625}
{'raw_data_an_x': 76.0968017578125, 'raw_data_an_z': -129.122314453125, 'raw_data_an_y': -0.63720703125}
{'raw_data_an_x': -0.230712890625, 'raw_data_an_z': -129.1497802734375, 'raw_data_an_y': -0.2801513671875}
{'raw_data_an_x': -0.648193359375, 'raw_data_an_z': -129.1278076171875, 'raw_data_an_y': 12.733154296875}
{'raw_data_an_x': 79.07958984375, 'raw_data_an_z': -129.0673828125, 'raw_data_an_y': 13.0682373046875}
{'raw_data_an_x': -0.1043701171875, 'raw_data_an_z': -128.9849853515625, 'raw_data_an_y': -0.670166015625}
{'raw_data_an_x': -0.538330078125, 'raw_data_an_z': -128.8861083984375, 'raw_data_an_y': -0.318603515625}
{'raw_data_an_x': 81.990966796875, 'raw_data_an_z': -128.792724609375, 'raw_data_an_y': 14.12841796875}
{'raw_data_an_x': -0.0384521484375, 'raw_data_an_z': -0.6976318359375, 'raw_data_an_y': 14.5458984375}
{'raw_data_an_x': -0.5218505859375, 'raw_data_an_z': -0.494384765625, 'raw_data_an_y': -0.4339599609375}
{'raw_data_an_x': 84.737548828125, 'raw_data_an_z': -0.186767578125, 'raw_data_an_y': 15.5841064453125}
{'raw_data_an_x': -0.19775390625, 'raw_data_an_z': -127.79296875, 'raw_data_an_y': 16.1444091796875}
{'raw_data_an_x': 86.4239501953125, 'raw_data_an_z': -127.4249267578125, 'raw_data_an_y': -0.1702880859375}
{'raw_data_an_x': 87.3028564453125, 'raw_data_an_z': -0.5108642578125, 'raw_data_an_y': 17.2760009765625}
{'raw_data_an_x': -0.3570556640625, 'raw_data_an_z': -0.1922607421875, 'raw_data_an_y': -0.439453125}
{'raw_data_an_x': 89.2034912109375, 'raw_data_an_z': -126.4691162109375, 'raw_data_an_y': 18.3856201171875}
{'raw_data_an_x': 90.1702880859375, 'raw_data_an_z': -126.18896484375, 'raw_data_an_y': 18.91845703125}
{'raw_data_an_x': -0.2801513671875, 'raw_data_an_z': -0.6646728515625, 'raw_data_an_y': -0.208740234375}
{'raw_data_an_x': 92.0489501953125, 'raw_data_an_z': -0.1922607421875, 'raw_data_an_y': 20.072021484375}
{'raw_data_an_x': 92.9168701171875, 'raw_data_an_z': -124.815673828125, 'raw_data_an_y': -0.4449462890625}
{'raw_data_an_x': -0.439453125, 'raw_data_an_z': -0.4779052734375, 'raw_data_an_y': 21.2091064453125}
{'raw_data_an_x': 94.658203125, 'raw_data_an_z': -123.6566162109375, 'raw_data_an_y': 21.7529296875}
{'raw_data_an_x': -0.06591796875, 'raw_data_an_z': -123.167724609375, 'raw_data_an_y': -0.2471923828125}
{'raw_data_an_x': -0.52734375, 'raw_data_an_z': -0.4119873046875, 'raw_data_an_y': 22.686767578125}
{'raw_data_an_x': 97.481689453125, 'raw_data_an_z': -0.1043701171875, 'raw_data_an_y': 23.0657958984375}
{'raw_data_an_x': 98.45947265625, 'raw_data_an_z': -122.2119140625, 'raw_data_an_y': -0.5218505859375}
{'raw_data_an_x': -0.4229736328125, 'raw_data_an_z': -121.97021484375, 'raw_data_an_y': -0.2252197265625}
{'raw_data_an_x': 100.3326416015625, 'raw_data_an_z': -121.6845703125, 'raw_data_an_y': 23.961181640625}
{'raw_data_an_x': -0.0439453125, 'raw_data_an_z': -0.3680419921875, 'raw_data_an_y': 24.224853515625}
{'raw_data_an_x': -0.6097412109375, 'raw_data_an_z': -120.860595703125, 'raw_data_an_y': 24.49951171875}
{'raw_data_an_x': 102.8814697265625, 'raw_data_an_z': -120.34423828125, 'raw_data_an_y': -0.52734375}
{'raw_data_an_x': -0.340576171875, 'raw_data_an_z': -0.2691650390625, 'raw_data_an_y': -0.230712890625}
{'raw_data_an_x': 104.578857421875, 'raw_data_an_z': -119.2401123046875, 'raw_data_an_y': 25.400390625}
{'raw_data_an_x': -0.0439453125, 'raw_data_an_z': -0.582275390625, 'raw_data_an_y': 25.7080078125}
{'raw_data_an_x': -0.5987548828125, 'raw_data_an_z': -0.098876953125, 'raw_data_an_y': 25.982666015625}
{'raw_data_an_x': 107.149658203125, 'raw_data_an_z': -117.740478515625, 'raw_data_an_y': -0.50537109375}
{'raw_data_an_x': -0.2581787109375, 'raw_data_an_z': -0.494384765625, 'raw_data_an_y': -0.28564453125}
{'raw_data_an_x': 108.8800048828125, 'raw_data_an_z': -116.60888671875, 'raw_data_an_y': -0.06591796875}
{'raw_data_an_x': 109.742431640625, 'raw_data_an_z': -0.5987548828125, 'raw_data_an_y': 26.8780517578125}
{'raw_data_an_x': -0.494384765625, 'raw_data_an_z': -115.1092529296875, 'raw_data_an_y': 27.1087646484375}
{'raw_data_an_x': 111.42333984375, 'raw_data_an_z': -0.3460693359375, 'raw_data_an_y': 27.344970703125}
{'raw_data_an_x': -0.2471923828125, 'raw_data_an_z': -113.367919921875, 'raw_data_an_y': -0.5767822265625}
{'raw_data_an_x': 113.0438232421875, 'raw_data_an_z': -0.0054931640625, 'raw_data_an_y': -0.384521484375}
{'raw_data_an_x': -0.0714111328125, 'raw_data_an_z': -0.648193359375, 'raw_data_an_y': -0.2197265625}
{'raw_data_an_x': -0.63720703125, 'raw_data_an_z': -0.010986328125, 'raw_data_an_y': -0.098876953125}
{'raw_data_an_x': 115.565185546875, 'raw_data_an_z': -110.5609130859375, 'raw_data_an_y': 28.1414794921875}
{'raw_data_an_x': -0.274658203125, 'raw_data_an_z': -0.3680419921875, 'raw_data_an_y': 28.2623291015625}
{'raw_data_an_x': 117.3065185546875, 'raw_data_an_z': -109.610595703125, 'raw_data_an_y': 28.3831787109375}
{'raw_data_an_x': 118.1414794921875, 'raw_data_an_z': -109.215087890625, 'raw_data_an_y': 28.4820556640625}
{'raw_data_an_x': -0.5987548828125, 'raw_data_an_z': -0.5767822265625, 'raw_data_an_y': 28.5479736328125}
{'raw_data_an_x': 119.696044921875, 'raw_data_an_z': -0.2801513671875, 'raw_data_an_y': 28.6029052734375}
{'raw_data_an_x': -0.50537109375, 'raw_data_an_z': -108.2537841796875, 'raw_data_an_y': 28.6468505859375}
{'raw_data_an_x': 121.1517333984375, 'raw_data_an_z': -107.9461669921875, 'raw_data_an_y': 28.7017822265625}
{'raw_data_an_x': -0.450439453125, 'raw_data_an_z': -107.64404296875, 'raw_data_an_y': 28.7841796875}
{'raw_data_an_x': 122.6898193359375, 'raw_data_an_z': -0.4833984375, 'raw_data_an_y': -0.648193359375}
{'raw_data_an_x': -0.24169921875, 'raw_data_an_z': -0.24169921875, 'raw_data_an_y': -0.5438232421875}
{'raw_data_an_x': 124.3267822265625, 'raw_data_an_z': -0.0604248046875, 'raw_data_an_y': -0.439453125}
{'raw_data_an_x': -0.010986328125, 'raw_data_an_z': -106.7816162109375, 'raw_data_an_y': -0.37353515625}
{'raw_data_an_x': -0.670166015625, 'raw_data_an_z': -106.6387939453125, 'raw_data_an_y': -0.3350830078125}
{'raw_data_an_x': -0.0054931640625, 'raw_data_an_z': -106.5234375, 'raw_data_an_y': -0.32958984375}
{'raw_data_an_x': 127.1942138671875, 'raw_data_an_z': -106.4190673828125, 'raw_data_an_y': -0.3350830078125}
{'raw_data_an_x': -0.1702880859375, 'raw_data_an_z': -106.3311767578125, 'raw_data_an_y': -0.3680419921875}
{'raw_data_an_x': 128.3697509765625, 'raw_data_an_z': -106.23779296875, 'raw_data_an_y': -0.4229736328125}
{'raw_data_an_x': -0.450439453125, 'raw_data_an_z': -0.68115234375, 'raw_data_an_y': -0.4559326171875}
{'raw_data_an_x': 129.473876953125, 'raw_data_an_z': -0.5987548828125, 'raw_data_an_y': -0.4888916015625}
