{'raw_data_an_y': 56.7828369140625, 'raw_data_an_x': 17.51220703125, 'raw_data_an_z': 0.0}
{'raw_data_an_y': 56.7828369140625, 'raw_data_an_x': 17.51220703125, 'raw_data_an_z': 0.0}
{'raw_data_an_y': 56.7828369140625, 'raw_data_an_x': 17.51220703125, 'raw_data_an_z': 0.0}
{'raw_data_an_y': 56.788330078125, 'raw_data_an_x': 17.51220703125, 'raw_data_an_z': 0.0}
{'raw_data_an_y': 56.7828369140625, 'raw_data_an_x': 17.51220703125, 'raw_data_an_z': 0.0}
{'raw_data_an_y': 56.7828369140625, 'raw_data_an_x': 17.51220703125, 'raw_data_an_z': 0.0}
{'raw_data_an_y': 56.7828369140625, 'raw_data_an_x': 17.5067138671875, 'raw_data_an_z': 0.0}
{'raw_data_an_y': 56.7828369140625, 'raw_data_an_x': 17.5067138671875, 'raw_data_an_z': 0.0}
{'raw_data_an_y': 56.788330078125, 'raw_data_an_x': 17.5067138671875, 'raw_data_an_z': 0.0}
{'raw_data_an_y': 56.7828369140625, 'raw_data_an_x': 17.5067138671875, 'raw_data_an_z': 0.0}
{'raw_data_an_y': 56.7828369140625, 'raw_data_an_x': 17.501220703125, 'raw_data_an_z': 0.0}
{'raw_data_an_y': 56.7828369140625, 'raw_data_an_x': 17.4957275390625, 'raw_data_an_z': 0.0}
{'raw_data_an_y': 56.7828369140625, 'raw_data_an_x': 17.4957275390625, 'raw_data_an_z': 0.0}
{'raw_data_an_y': 56.788330078125, 'raw_data_an_x': 17.501220703125, 'raw_data_an_z': 0.0}
{'raw_data_an_y': 56.788330078125, 'raw_data_an_x': 17.501220703125, 'raw_data_an_z': 0.0}
{'raw_data_an_y': 56.788330078125, 'raw_data_an_x': 17.501220703125, 'raw_data_an_z': 0.0}
{'raw_data_an_y': 56.788330078125, 'raw_data_an_x': 17.501220703125, 'raw_data_an_z': 0.0}
{'raw_data_an_y': 56.788330078125, 'raw_data_an_x': 17.501220703125, 'raw_data_an_z': 0.0}
{'raw_data_an_y': 56.788330078125, 'raw_data_an_x': 17.5067138671875, 'raw_data_an_z': 0.0}
{'raw_data_an_y': 56.788330078125, 'raw_data_an_x': 17.5067138671875, 'raw_data_an_z': 0.0}
{'raw_data_an_y': 56.788330078125, 'raw_data_an_x': 17.5067138671875, 'raw_data_an_z': 0.0}
{'raw_data_an_y': 56.788330078125, 'raw_data_an_x': 17.5067138671875, 'raw_data_an_z': 0.0}
{'raw_data_an_y': 56.788330078125, 'raw_data_an_x': 17.5067138671875, 'raw_data_an_z': 0.0}
{'raw_data_an_y': 56.788330078125, 'raw_data_an_x': 17.5067138671875, 'raw_data_an_z': 0.0}
{'raw_data_an_y': 56.788330078125, 'raw_data_an_x': 17.5067138671875, 'raw_data_an_z': 0.0}
{'raw_data_an_y': 56.788330078125, 'raw_data_an_x': 17.5067138671875, 'raw_data_an_z': 0.0}
{'raw_data_an_y': 56.788330078125, 'raw_data_an_x': 17.5067138671875, 'raw_data_an_z': 0.0}
{'raw_data_an_y': 56.788330078125, 'raw_data_an_x': 17.501220703125, 'raw_data_an_z': 0.0}
{'raw_data_an_y': 56.788330078125, 'raw_data_an_x': 17.501220703125, 'raw_data_an_z': 0.0}
{'raw_data_an_y': 56.788330078125, 'raw_data_an_x': 17.5067138671875, 'raw_data_an_z': 0.0}
{'raw_data_an_y': 56.788330078125, 'raw_data_an_x': 17.5067138671875, 'raw_data_an_z': 0.0}
{'raw_data_an_y': 56.788330078125, 'raw_data_an_x': 17.501220703125, 'raw_data_an_z': 0.0}
{'raw_data_an_y': 56.788330078125, 'raw_data_an_x': 17.501220703125, 'raw_data_an_z': 0.0}
{'raw_data_an_y': 56.788330078125, 'raw_data_an_x': 17.501220703125, 'raw_data_an_z': 0.0}
{'raw_data_an_y': 56.7828369140625, 'raw_data_an_x': 17.501220703125, 'raw_data_an_z': 0.0}
{'raw_data_an_y': 56.788330078125, 'raw_data_an_x': 17.501220703125, 'raw_data_an_z': 0.0}
{'raw_data_an_y': 56.788330078125, 'raw_data_an_x': 17.501220703125, 'raw_data_an_z': 0.0}
{'raw_data_an_y': 56.788330078125, 'raw_data_an_x': 17.501220703125, 'raw_data_an_z': 0.0}
{'raw_data_an_y': 56.788330078125, 'raw_data_an_x': 17.501220703125, 'raw_data_an_z': 0.0}
{'raw_data_an_y': 56.788330078125, 'raw_data_an_x': 17.501220703125, 'raw_data_an_z': 0.0}
{'raw_data_an_y': 56.788330078125, 'raw_data_an_x': 17.501220703125, 'raw_data_an_z': 0.0}
{'raw_data_an_y': 56.788330078125, 'raw_data_an_x': 17.4957275390625, 'raw_data_an_z': 0.0}
