{'raw_data_an_z': -0.68115234375, 'raw_data_an_x': -0.2691650390625, 'raw_data_an_y': 63.3306884765625}
{'raw_data_an_z': -0.68115234375, 'raw_data_an_x': -0.2691650390625, 'raw_data_an_y': 63.3306884765625}
{'raw_data_an_z': -0.68115234375, 'raw_data_an_x': -0.2691650390625, 'raw_data_an_y': 63.3306884765625}
{'raw_data_an_z': -0.68115234375, 'raw_data_an_x': -0.2691650390625, 'raw_data_an_y': 63.3306884765625}
{'raw_data_an_z': -0.68115234375, 'raw_data_an_x': -0.2691650390625, 'raw_data_an_y': 63.3306884765625}
{'raw_data_an_z': -0.68115234375, 'raw_data_an_x': -0.274658203125, 'raw_data_an_y': 63.3306884765625}
{'raw_data_an_z': -0.68115234375, 'raw_data_an_x': -0.274658203125, 'raw_data_an_y': 63.3306884765625}
{'raw_data_an_z': -0.68115234375, 'raw_data_an_x': -0.274658203125, 'raw_data_an_y': 63.3306884765625}
{'raw_data_an_z': -0.68115234375, 'raw_data_an_x': -0.274658203125, 'raw_data_an_y': 63.3306884765625}
{'raw_data_an_z': -0.68115234375, 'raw_data_an_x': -0.274658203125, 'raw_data_an_y': 63.3306884765625}
{'raw_data_an_z': -0.68115234375, 'raw_data_an_x': -0.274658203125, 'raw_data_an_y': 63.3306884765625}
{'raw_data_an_z': -0.68115234375, 'raw_data_an_x': -0.274658203125, 'raw_data_an_y': 63.3306884765625}
{'raw_data_an_z': -0.68115234375, 'raw_data_an_x': -0.274658203125, 'raw_data_an_y': 63.3306884765625}
{'raw_data_an_z': -0.68115234375, 'raw_data_an_x': -0.274658203125, 'raw_data_an_y': 63.3306884765625}
{'raw_data_an_z': -0.6866455078125, 'raw_data_an_x': -0.274658203125, 'raw_data_an_y': 63.3306884765625}
{'raw_data_an_z': -0.6866455078125, 'raw_data_an_x': -0.274658203125, 'raw_data_an_y': 63.3306884765625}
{'raw_data_an_z': -0.6866455078125, 'raw_data_an_x': -0.274658203125, 'raw_data_an_y': 63.3306884765625}
{'raw_data_an_z': -0.68115234375, 'raw_data_an_x': -0.2691650390625, 'raw_data_an_y': 63.3306884765625}
{'raw_data_an_z': -0.68115234375, 'raw_data_an_x': -0.2691650390625, 'raw_data_an_y': 63.3306884765625}
{'raw_data_an_z': -0.68115234375, 'raw_data_an_x': -0.2691650390625, 'raw_data_an_y': 63.3306884765625}
{'raw_data_an_z': -0.68115234375, 'raw_data_an_x': -0.274658203125, 'raw_data_an_y': 63.3306884765625}
{'raw_data_an_z': -0.6866455078125, 'raw_data_an_x': -0.274658203125, 'raw_data_an_y': 63.3306884765625}
{'raw_data_an_z': -0.6866455078125, 'raw_data_an_x': -0.274658203125, 'raw_data_an_y': 63.3306884765625}
{'raw_data_an_z': -0.6866455078125, 'raw_data_an_x': -0.274658203125, 'raw_data_an_y': 63.3306884765625}
{'raw_data_an_z': -0.6866455078125, 'raw_data_an_x': -0.274658203125, 'raw_data_an_y': 63.3306884765625}
{'raw_data_an_z': -0.6866455078125, 'raw_data_an_x': -0.274658203125, 'raw_data_an_y': 63.3306884765625}
{'raw_data_an_z': -0.6866455078125, 'raw_data_an_x': -0.2691650390625, 'raw_data_an_y': 63.3306884765625}
{'raw_data_an_z': -0.6866455078125, 'raw_data_an_x': -0.263671875, 'raw_data_an_y': 63.3306884765625}
{'raw_data_an_z': -0.6866455078125, 'raw_data_an_x': -0.2691650390625, 'raw_data_an_y': 63.3306884765625}
{'raw_data_an_z': -0.6866455078125, 'raw_data_an_x': -0.274658203125, 'raw_data_an_y': 63.3306884765625}
{'raw_data_an_z': -0.6866455078125, 'raw_data_an_x': -0.274658203125, 'raw_data_an_y': 63.3306884765625}
{'raw_data_an_z': -0.6866455078125, 'raw_data_an_x': -0.274658203125, 'raw_data_an_y': 63.3306884765625}
{'raw_data_an_z': -0.6866455078125, 'raw_data_an_x': -0.274658203125, 'raw_data_an_y': 63.3306884765625}
{'raw_data_an_z': -0.6866455078125, 'raw_data_an_x': -0.274658203125, 'raw_data_an_y': 63.3306884765625}
{'raw_data_an_z': -0.6866455078125, 'raw_data_an_x': -0.2801513671875, 'raw_data_an_y': 63.3306884765625}
{'raw_data_an_z': -0.6866455078125, 'raw_data_an_x': -0.2801513671875, 'raw_data_an_y': 63.3306884765625}
{'raw_data_an_z': -0.6866455078125, 'raw_data_an_x': -0.2801513671875, 'raw_data_an_y': 63.3306884765625}
{'raw_data_an_z': -0.6866455078125, 'raw_data_an_x': -0.2801513671875, 'raw_data_an_y': 63.3306884765625}
{'raw_data_an_z': -0.6866455078125, 'raw_data_an_x': -0.2801513671875, 'raw_data_an_y': 63.3306884765625}
{'raw_data_an_z': -0.6866455078125, 'raw_data_an_x': -0.28564453125, 'raw_data_an_y': 63.3306884765625}
